contDisplayName,year,pID,name,score,contentStyle
综艺,2003,618380735,饭没了秀,7.5,脱口秀
综艺,2008,957039385,农村大市场,7.4,生活
综艺,2009,618438259,我是大评委,8.5,音乐
综艺,2011,618438049,年代秀,6.0,真人秀 游戏
综艺,2011,760679158,爱情连连看2010,7.5,情感
综艺,2012,615838154,开心大买卖,7.6,生活
综艺,2012,639856189,开讲啦,9.5,脱口秀
综艺,2013,616026451,爽食行天下第十一季,6.0,美食 真人秀
综艺,2013,629004417,调解面对面第二季,7.0,情感 访谈
综艺,2013,652493701,汉字听写大会2013,8.4,文化 益智 竞技
综艺,2014,608629625,极速前进,8.7,真人秀 竞技 游戏
综艺,2014,613560578,健康007,8.5,益智 生活
综艺,2014,613561975,因为是医生,6.0,生活 真人秀
综艺,2014,618443363,来吧孩子,7.0,真人秀
综艺,2014,624346038,我的音乐故事,7.3,音乐 真人秀
综艺,2014,631340540,天才想得到,8.5,益智 真人秀
综艺,2014,652492875,汉字听写大会2014,8.1,文化 益智 竞技
综艺,2014,839968086,游钓中国第一季,7.5,其他
综艺,2014,894881163,爽食行天下之传奇江湖菜,8.0,美食
综艺,2014,956580987,世界多美丽：国外篇之韩国,7.2,旅行 文化
综艺,2014,956581028,世界多美丽：国外篇之泰国,7.2,旅行 文化
综艺,2015,608610341,我看你有戏,7.8,真人秀 选秀
综艺,2015,608624249,极速前进第二季,6.0,真人秀 游戏 竞技
综艺,2015,608630306,丫丫秀,6.0,脱口秀
综艺,2015,608630321,厨房的秘密,7.1,脱口秀 美食
综艺,2015,610694775,最强综艺,7.2,其他
综艺,2015,610696406,天天逗文涛,9.1,脱口秀
综艺,2015,611196067,闪亮的爸爸,6.0,亲子 真人秀
综艺,2015,611420294,西游奇遇记,7.8,真人秀
综艺,2015,613561183,掌声响起来,7.5,真人秀 歌舞
综艺,2015,616131102,中国成语大会2016,9.5,文化 真人秀
综艺,2015,618438602,加油吧新郎,7.6,真人秀 情感
综艺,2015,618438836,纲到你身边,6.4,脱口秀 访谈
综艺,2015,627586885,尚流社会,6.8,其他
综艺,2015,635220233,非正式会谈第二季,7.8,脱口秀
综艺,2015,635225451,谁是我家人第三季,7.3,游戏 真人秀
综艺,2015,636781907,大妞帮帮帮,6.0,脱口秀 真人秀
综艺,2015,639764194,春天读诗第二季,8.0,文化
综艺,2015,652493567,挑战不可能,7.5,真人秀 竞技
综艺,2015,688230534,星星的密室第二季,6.0,游戏 真人秀 益智
综艺,2015,956791355,世界多美丽：国外篇之岛国篇,7.2,旅行 文化
综艺,2015,956791550,国风秦韵精编版,7.5,文化 曲艺
综艺,2015,957034251,世界多美丽：国外篇之摩洛哥,7.3,旅行 文化
综艺,2016,614086302,家庭幽默大赛第二季,7.8,搞笑 真人秀
综艺,2016,616741359,我们相爱吧之爱有天意,7.1,情感 真人秀
综艺,2016,617308588,非凡搭档,8.4,真人秀 竞技
综艺,2016,618437574,中国谜语大会2016,6.0,益智 文化
综艺,2016,618906582,完美婚礼,7.4,真人秀 情感
综艺,2016,619282573,我是大律师,7.0,情感
综艺,2016,621119007,世说新语,6.0,谈话 脱口秀
综艺,2016,621740898,2016中央电视台中秋晚会,7.1,晚会 音乐 歌舞
综艺,2016,624322879,2016我要上春晚,7.2,真人秀
综艺,2016,624332177,加油！向未来,7.1,益智 真人秀
综艺,2016,635213691,爱游我拍,7.5,旅行 真人秀 美食
综艺,2016,635244628,我为喜剧狂第三季,8.8,搞笑
综艺,2016,635281379,阳光艺体能,7.8,运动 竞技 真人秀
综艺,2016,637300342,星光大道超级版,7.1,选秀 真人秀 音乐
综艺,2016,637348741,非正式会谈第三季,9.0,脱口秀
综艺,2016,652406362,2016中国诗词大会,9.2,文化 益智 真人秀
综艺,2016,657439211,等着我2016,7.8,情感
综艺,2016,659386853,一站到底2016,7.5,益智 真人秀
综艺,2016,671895998,王牌对王牌第一季,8.5,搞笑 游戏 真人秀
综艺,2016,839969233,游钓中国第二季,7.5,其他
综艺,2016,899238271,魔力社,7.3,其他
综艺,2016,956581024,世界多美丽：国外篇之加拿大,7.2,旅行 文化
综艺,2017,623562080,2017直通春晚,7.1,真人秀 歌舞
综艺,2017,623622955,历届网络春晚,6.0,晚会 音乐
综艺,2017,623770665,2017网络春晚精选,6.5,晚会
综艺,2017,623894819,2017央视春晚精选,7.0,晚会
综艺,2017,623940647,2017@春晚,6.2,其他
综艺,2017,624063860,2017央视元宵晚会,6.6,晚会 音乐 歌舞
综艺,2017,627474360,天才想得到第四季,7.0,益智 真人秀
综艺,2017,628121800,调解面对面第一季,6.8,情感 访谈
综艺,2017,628220966,大王小王第一季,7.0,情感 访谈
综艺,2017,628987517,饮食养生汇第一季,6.8,美食 生活
综艺,2017,629005097,你就是奇迹第二季,7.0,职场 真人秀
综艺,2017,629501314,卡卡说电影,6.5,其他
综艺,2017,629966194,大王小王第二季,7.0,访谈 情感
综艺,2017,630287257,饮食养生汇第二季,6.5,美食 生活
综艺,2017,631056989,生活帮第一季,8.0,生活
综艺,2017,631282630,饮食养生汇第三季,6.2,美食 生活
综艺,2017,631502720,小鬼当家,7.0,亲子 真人秀
综艺,2017,631911715,调解面对面第四季,9.0,情感 访谈
综艺,2017,631924234,我为喜剧狂第四季,8.3,搞笑
综艺,2017,631924242,好吃佬第二季,9.0,美食
综艺,2017,632000444,文化视角,7.0,访谈
综艺,2017,633103507,生活帮第二季,8.0,生活
综艺,2017,633103514,今天我当家第二季,8.0,亲子 真人秀
综艺,2017,633105981,饮食养生汇第四季,8.0,美食 生活
综艺,2017,633420220,小沈阳合集,8.0,小品 喜剧
综艺,2017,634017183,岳云鹏合集,8.0,
综艺,2017,634107056,大兵合集,8.0,搞笑
综艺,2017,635252243,冯巩合集,8.0,小品 喜剧
综艺,2017,635577751,你就是奇迹第三季,7.8,职场 真人秀
综艺,2017,635615206,国家宝藏,9.5,文化 真人秀
综艺,2017,635956897,刘小光合集,9.0,小品 喜剧
综艺,2017,637349556,最美国学,7.1,文化
综艺,2017,637489349,如果爱第四季,8.3,情感 真人秀
综艺,2017,637899014,非正式会谈3.5,9.5,脱口秀
综艺,2017,637899052,好吃佬第三季,8.5,美食
综艺,2017,638046874,风语日记第一季,8.3,文化 情感
综艺,2017,638694185,饮食养生汇第五季,8.0,美食 生活
综艺,2017,639764332,春天读诗第四季,8.0,文化
综艺,2017,650763625,一路书香,8.2,文化
综艺,2017,652493146,中国戏歌,8.1,戏曲 文化
综艺,2017,652494497,魅力中国城,7.0,其他
综艺,2017,657439038,等着我2017,7.8,情感
综艺,2017,659387435,一站到底2017,7.4,益智 真人秀
综艺,2017,659988233,你就是奇迹,6.3,职场 真人秀
综艺,2017,671891598,王牌对王牌第二季,8.6,搞笑 游戏 真人秀
综艺,2017,721991152,两个和尚锵锵锵,7.6,其他
综艺,2017,839969781,游钓中国第三季,7.5,其他
综艺,2017,894881388,歪果仁研究协会,7.2,其他
综艺,2017,894881998,欣蚊娱乐,6.0,其他
综艺,2018,629987269,非正式会谈第四季,9.3,脱口秀
综艺,2018,635577650,调解面对面第五季,7.7,情感 访谈
综艺,2018,638064537,大王小王第三季,8.2,情感 访谈
综艺,2018,638636773,经视实验室第一季,8.3,其他
综艺,2018,639177214,2018湖北春晚,8.5,晚会 音乐 歌舞
综艺,2018,639392539,精武门,6.8,运动 竞技 真人秀
综艺,2018,639392550,桃花朵朵开,6.8,情感 真人秀
综艺,2018,639760673,舍得智慧讲堂,8.0,脱口秀 谈话
综艺,2018,639942597,朗读者第二季,8.5,文化 情感
综艺,2018,643516869,退休好生活,6.5,其他
综艺,2018,644846970,经视实验室第二季,6.9,其他
综艺,2018,646480684,高校达人秀精选,8.2,其他
综艺,2018,646567424,加油好身材,8.2,运动 竞技 真人秀
综艺,2018,647919894,桃花朵朵开精编版,8.2,情感 真人秀
综艺,2018,648827502,我们一起上春晚,8.1,真人秀
综艺,2018,650377596,国家宝藏第二季,9.0,文化 真人秀
综艺,2018,650540334,超级乘客,9.5,访谈
综艺,2018,651727791,大美湖北,6.9,文化
综艺,2018,652260065,春节，看我哒！,9.0,真人秀
综艺,2018,657439090,等着我2018,7.8,情感
综艺,2018,659387470,一站到底2018,7.7,益智 真人秀
综艺,2018,671685283,王牌对王牌第三季,8.7,搞笑 游戏 真人秀
综艺,2018,839974875,游钓中国第四季,7.5,其他
综艺,2018,956581019,世界多美丽：国外篇之美国,7.2,旅行 文化
综艺,2018,956791297,世界多美丽：国外篇之中欧篇,7.6,旅行 文化
综艺,2018,956791555,拉家常,7.6,生活 文化
综艺,2018,956798065,非遗美食第一季,7.3,美食 生活
综艺,2018,956798078,非遗美食第二季,7.4,美食 生活
综艺,2018,957034194,世界多美丽：国内篇之广东,7.4,旅行 文化
综艺,2019,614086130,开门大吉,6.2,益智 游戏 真人秀
综艺,2019,618380662,星光大道,7.5,选秀 真人秀 音乐
综艺,2019,624340637,等着我2019,8.0,情感
综艺,2019,638158209,历届央视春晚回顾,8.5,晚会
综艺,2019,639986994,非正式课堂,8.0,脱口秀
综艺,2019,641239871,童声朗朗,7.1,真人秀 文化
综艺,2019,652118896,谢谢了，我的家第二季,9.0,访谈 文化 情感
综艺,2019,652139263,挑战不可能之加油中国,9.0,真人秀 竞技
综艺,2019,652220360,新相亲大会第一季,8.9,真人秀
综艺,2019,652283595,2019网络春晚,8.6,晚会
综艺,2019,653301355,荆楚大医生,8.1,生活
综艺,2019,656705385,奇妙的汉字,8.2,文化 真人秀
综艺,2019,659197286,新相亲大会第二季,9.0,情感 真人秀
综艺,2019,660476405,一起来跳舞第二季,8.2,音乐 真人秀
综艺,2019,660936129,哎呀好身材,9.1,运动 真人秀 竞技
综艺,2019,661018876,奇妙的汉字第二季,8.2,文化 真人秀
综艺,2019,661619087,哎呀好身材VIP加长版,9.1,运动 真人秀 竞技
综艺,2019,661619106,哎呀好身材秘密版,9.1,运动 真人秀 竞技
综艺,2019,661931780,哎呀好身材纯净版,8.2,运动 真人秀 竞技
综艺,2019,663775459,故事里的中国,9.2,文化
综艺,2019,663896307,荆楚大医生第二季,8.2,生活
综艺,2019,664886450,我爱你中国,8.5,脱口秀 文化
综艺,2019,666076685,汉字味道,8.2,文化
综艺,2019,666808817,你好生活,8.2,生活 真人秀
综艺,2019,671685307,王牌对王牌第四季,8.6,搞笑 游戏 真人秀
综艺,2019,688016131,抱走吧！爱豆,8.0,访谈
综艺,2019,718864865,爱的味道第一季,8.5,情感 美食 真人秀
综艺,2019,718864932,最美旅拍第一季,7.3,旅行 真人秀
综艺,2019,814062154,青春环游记特约版,8.3,真人秀 旅行 游戏 美食
综艺,2019,814062644,青春环游记,8.3,真人秀 旅行 游戏 美食
综艺,2019,839975284,游钓中国第五季,7.5,其他
综艺,2019,867007051,梦想改造家第六季,8.2,生活 真人秀
综艺,2019,941392867,文明的对话,8.2,文化 访谈
综艺,2019,956791292,世界多美丽：国外篇之以色列,7.3,旅行 文化
综艺,2019,957034196,世界多美丽：国外篇之越南,7.4,旅行 文化
综艺,2020,667621784,等着我（2020）,7.8,情感
综艺,2020,667621785,开门大吉2020,8.5,益智 游戏 真人秀
综艺,2020,667865564,星光大道（2020）,8.5,选秀 真人秀 音乐
综艺,2020,668264792,新相亲大会第三季,8.9,情感 真人秀
综艺,2020,668549693,走在回家的路上,8.5,情感 真人秀
综艺,2020,668782802,回声嘹亮2020,8.2,音乐 真人秀
综艺,2020,668792037,2020过年啦,7.1,游戏
综艺,2020,669103314,经典咏流传第三季,8.9,文化 音乐
综艺,2020,669103981,中国诗词大会第五季,9.2,文化 益智 真人秀
综艺,2020,669221452,王牌对王牌第五季,9.1,搞笑 游戏 真人秀
综艺,2020,669291323,天赐的声音,8.5,音乐 真人秀
综艺,2020,672169045,周游记第一季,9.2,真人秀 旅行 生活
综艺,2020,672178363,《樱花树下爱和希望》云版诗词大会,8.5,情感
综艺,2020,675427700,新相亲大会第四季,7.4,真人秀 情感
综艺,2020,676130290,旋转吧，假期,8.7,搞笑 真人秀
综艺,2020,677241690,左小姐的礼物,7.0,访谈 真人秀
综艺,2020,677963486,奇妙的汉字第三季,8.5,文化 真人秀
综艺,2020,678489826,青春环游记第二季,9.6,真人秀 旅行 游戏 美食
综艺,2020,680127788,戏码头·中国好搭档,8.5,戏曲
综艺,2020,683886576,还有诗和远方,8.1,文化 旅行 真人秀
综艺,2020,685507006,乐龄唱响·全国老年合唱大赛,8.5,音乐 真人秀
综艺,2020,687963352,哎呀好身材第二季,8.1,运动 真人秀 竞技
综艺,2020,689405790,哎呀好身材第二季秘密版,8.1,运动 真人秀 竞技
综艺,2020,691026539,梦想改造家第七季,8.5,生活 真人秀
综艺,2020,691408528,2020中秋诗会,7.2,文化
综艺,2020,693915195,好身材厨房,8.2,美食 真人秀
综艺,2020,694211990,好身材厨房（会员版）,8.5,美食 真人秀
综艺,2020,696131838,故事里的中国第二季,8.2,生活 真人秀
综艺,2020,696613689,海报里的英雄,9.0,文化
综艺,2020,696614470,你好生活第二季,8.1,生活 真人秀
综艺,2020,697507203,挑战不可能第五季,8.3,真人秀 游戏
综艺,2020,697507767,我要上春晚2020,9.1,真人秀
综艺,2020,697507770,大幕开启,9.0,访谈
综艺,2020,697507900,国家宝藏第三季,9.0,文化 真人秀
综艺,2020,698283101,技惊四座（VR全景）,9.1,文化 竞技 真人秀
综艺,2020,712533807,技惊四座（VR全景3D）,9.1,文化 竞技 真人秀
综艺,2020,715665828,家宴第一季,8.3,美食 文化 真人秀
综艺,2020,720813639,最美旅拍第二季,7.6,旅行 真人秀
综艺,2020,726492233,天赐的声音特约版,7.6,音乐 真人秀
综艺,2020,791926859,你好，美人鱼,7.6,真人秀
综艺,2020,814062339,青春环游记第二季特约版,8.9,真人秀
综艺,2020,839975565,游钓中国第六季,7.5,其他
综艺,2020,859598914,皖美旅拍1,7.5,旅行 文化 真人秀
综艺,2020,898421726,我们一起出发吧,8.1,旅行 真人秀
综艺,2020,898422204,今天说今日,8.1,访谈 文化
综艺,2020,945889076,乡村大篷车第二季,7.4,其他
综艺,2020,956791302,世界多美丽：国外篇之北欧篇,7.5,旅行 文化
综艺,2020,957034195,世界多美丽：国外篇之澳大利亚,7.5,旅行 文化
综艺,2021,699083233,回声嘹亮2021,8.1,音乐 真人秀
综艺,2021,699083249,开门大吉2021,8.1,益智 游戏 真人秀
综艺,2021,699084811,等着我2021,8.1,情感
综艺,2021,700333431,天赐的声音第二季,7.2,音乐 真人秀
综艺,2021,700570491,星光大道（2021）,7.0,选秀 真人秀 音乐
综艺,2021,701117502,念念桃花源,8.6,真人秀 生活
综艺,2021,701384611,王牌对王牌第六季,8.5,搞笑 游戏 真人秀
综艺,2021,701450054,新相亲大会第五季,7.5,真人秀 情感
综艺,2021,702171446,天赐的声音特约版第二季,9.2,音乐 真人秀
综艺,2021,702171558,王牌少年加载中,9.2,搞笑 游戏 真人秀
综艺,2021,703046266,2021新春相声大会,7.2,相声小品 搞笑
综艺,2021,703140794,金牌喜剧班,7.8,搞笑 相声小品 竞技 真人秀
综艺,2021,703141951,经典咏流传第四季,7.5,文化 音乐
综艺,2021,703175293,中国诗词大会第六季,8.7,文化 益智 真人秀
综艺,2021,709429754,还有诗和远方2,8.5,文化 旅行 真人秀
综艺,2021,709994541,追星星的人,7.0,真人秀 旅行
综艺,2021,710422404,新相亲大会第六季,7.5,真人秀 情感
综艺,2021,712419319,国潮研究所,7.8,文化 访谈
综艺,2021,712810737,国潮研究所纯净版,7.8,文化 访谈
综艺,2021,713432595,百年歌声,9.2,音乐
综艺,2021,713923756,听说很好吃,8.5,美食 真人秀
综艺,2021,713986065,辽美旅拍,8.3,旅行 真人秀
综艺,2021,714037237,奥运叨叨叨,8.5,脱口秀 运动
综艺,2021,714249819,奥运叨叨叨会员版,8.5,脱口秀 运动
综艺,2021,714261615,金牌之上,8.1,访谈 运动
综艺,2021,714535476,你好生活第三季,8.0,生活 真人秀
综艺,2021,714709557,黔行旅拍,8.5,旅行 真人秀
综艺,2021,714723456,嗨放派,7.8,真人秀 游戏 搞笑
综艺,2021,714761606,爱的味道第二季,8.5,情感 美食 真人秀
综艺,2021,715735026,朗读者第三季,8.6,文化
综艺,2021,715906170,梦想改造家第八季,8.7,生活 真人秀
综艺,2021,716005009,追梦人之无界人生,7.8,访谈 真人秀
综艺,2021,716331628,金秋相声大会,7.8,相声小品 搞笑
综艺,2021,716969494,好戏连连看,8.5,相声小品 搞笑 真人秀
综艺,2021,716969688,国家宝藏·展演季,8.6,文化 真人秀
综艺,2021,716984656,青春环游记第三季,7.8,真人秀 旅行 游戏 美食
综艺,2021,717150689,披荆斩棘的哥哥家族诞生夜VR舞台（VR全景）,8.2,音乐 真人秀
综艺,2021,717428953,飒！武力拳开,8.6,运动 竞技
综艺,2021,717460367,美好的星城,8.2,旅行 文化 真人秀
综艺,2021,718029399,哎呀好身材海浪季,8.1,运动 真人秀
综艺,2021,718224871,故事里的中国第三季,8.6,文化
综艺,2021,718840302,妙墨中国心,7.5,文化
综艺,2021,718843601,超燃美食记,7.3,美食 旅行 真人秀
综艺,2021,719536280,万里走单骑第二季,8.1,文化 旅行 真人秀
综艺,2021,720062123,2021我要上春晚,7.2,真人秀
综艺,2021,720213381,闪光的乐队,8.2,音乐 真人秀
综艺,2021,720935769,飒！武力拳开会员纯享版,8.6,运动 竞技
综艺,2021,814062472,青春环游记第三季特约版,8.2,真人秀 旅行 游戏 美食
综艺,2021,839975915,游钓中国第七季,7.5,其他
综艺,2021,845474000,云享旅拍,8.2,旅行 文化 真人秀
综艺,2021,845474006,家宴第二季,8.1,美食 文化 真人秀
综艺,2021,859599341,最美旅拍第三季,7.9,旅行 文化 真人秀
综艺,2021,872531055,皖美旅拍2,8.4,旅行 文化 真人秀
综艺,2021,930538789,安逸的旅途第四季,7.5,旅行 美食 真人秀
综艺,2021,930539130,问您所？第四季,7.5,其他
综艺,2021,930539131,金字招牌第四季,7.5,访谈
综艺,2021,935741736,医生来了第五季,7.5,生活
综艺,2021,939854039,安逸的旅途第五季,7.3,旅行 美食 真人秀
综艺,2021,954499426,医生来了第六季,7.7,真人秀 访谈 生活
综艺,2021,956798287,医生来了第七季,7.6,真人秀 访谈 生活
综艺,2022,720700250,开门大吉2022,7.8,益智 游戏 真人秀
综艺,2022,720700461,回声嘹亮2022,8.1,音乐 真人秀
综艺,2022,720702607,等着我2022,8.5,情感
综艺,2022,720702684,星光大道2022,8.2,选秀 真人秀 音乐
综艺,2022,720844306,冰雪正当燃,8.3,运动 真人秀
综艺,2022,720917866,好戏连连看（2022）,8.6,相声小品 搞笑 真人秀
综艺,2022,721203160,跟着冠军去滑雪,7.8,运动 真人秀
综艺,2022,721627389,余音绕梁,8.2,戏曲 文化
综艺,2022,722031188,集光之夜,8.9,晚会 音乐
综艺,2022,722353879,2022新春相声大会,7.1,相声小品 搞笑 真人秀
综艺,2022,722420610,外国人侃冬奥,9.1,搞笑
综艺,2022,722499371,2022中国诗词大会,7.2,文化 益智 真人秀
综艺,2022,722651522,运动者联濛,8.2,运动 真人秀
综艺,2022,723828855,王牌已上线,7.0,搞笑 游戏 真人秀
综艺,2022,724264836,王牌对王牌第七季,8.2,搞笑 游戏 真人秀
综艺,2022,724880179,王牌少年加载中第二季,8.6,搞笑 游戏 真人秀
综艺,2022,724907945,冰雪正当燃悠享版,8.5,运动 真人秀
综艺,2022,725325325,天赐的声音第三季,8.3,音乐 真人秀
综艺,2022,725818201,闪光的乐队特约版,7.6,音乐 真人秀
综艺,2022,726483791,天赐的声音特约版第三季,8.3,音乐 真人秀
综艺,2022,728302724,三个少年,7.5,访谈 真人秀
综艺,2022,728641596,王牌对王牌精编版,8.5,搞笑 游戏 真人秀
综艺,2022,729368319,追星星的人第二季,7.8,真人秀 旅行
综艺,2022,730163240,追星星的人第二季特约版,7.8,真人秀 旅行
综艺,2022,731376167,经典咏流传第五季,7.5,文化 音乐
